SIC07 type,SIC07 Section,SIC07 code,5-digit SIC07 code,SIC07 heading,Lowest-level SIC07 identifier,Science and Technology indicator,Science and Technology category,Science and Technology topic
Sub-class,C,19.20/1,19201,Mineral oil refining,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Sub-class,C,19.20/9,19209,Other treatment of petroleum products (excluding mineral oil refining/petrochemicals manufacture),1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.11,20110,Manufacture of industrial gases,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.12,20120,Manufacture of dyes and pigments,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.13,20130,Manufacture of other inorganic basic chemicals,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.14,20140,Manufacture of other organic basic chemicals,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.15,20150,Manufacture of fertilisers and nitrogen compounds,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.16,20160,Manufacture of plastics in primary forms,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.17,20170,Manufacture of synthetic rubber in primary forms,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Group,C,20.2,20200,Manufacture of pesticides and other agrochemical products,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Sub-class,C,20.30/1,20301,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Sub-class,C,20.30/2,20302,Manufacture of printing ink,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Sub-class,C,20.41/1,20411,Manufacture of soap and detergents,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Sub-class,C,20.41/2,20412,Manufacture of cleaning and polishing preparations,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.42,20420,Manufacture of perfumes and toilet preparations,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.51,20510,Manufacture of explosives,1,4,Other scientific/technological manufacture,Defence technologies
Class,C,20.52,20520,Manufacture of glues,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.53,20530,Manufacture of essential oils,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Class,C,20.59,20590,Manufacture of other chemical products n.e.c.,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Group,C,20.6,20600,Manufacture of man-made fibres,1,4,Other scientific/technological manufacture,Chemical & Chemical Product manufacturing (exc. Pharmaceuticals)
Group,C,21.1,21100,Manufacture of basic pharmaceutical products,1,2,Life Sciences & Healthcare,Pharmaceutical manufacture
Group,C,21.2,21200,Manufacture of pharmaceutical preparations,1,2,Life Sciences & Healthcare,Pharmaceutical manufacture
Class,C,25.21,25210,Manufacture of central heating radiators and boilers,1,4,Other scientific/technological manufacture,Electrical Machinery manufacturing
Group,C,25.3,25300,"Manufacture of steam generators, except central heating hot water boilers",1,4,Other scientific/technological manufacture,Non-electrical Machinery manufacturing
Group,C,25.4,25400,Manufacture of weapons and ammunition,1,4,Other scientific/technological manufacture,Defence technologies
Class,C,26.11,26110,Manufacture of electronic components,1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
Class,C,26.12,26120,Manufacture of loaded electronic boards,1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
Group,C,26.2,26200,Manufacture of computers and peripheral equipment,1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
Sub-class,C,26.30/1,26301,Manufacture of telegraph and telephone apparatus and equipment,1,3,Publishing & Broadcasting,Communication Equipment manufacturing
Sub-class,C,26.30/9,26309,Manufacture of communication equipment (other than telegraph and telephone apparatus and equipment),1,3,Publishing & Broadcasting,Communication Equipment manufacturing
Group,C,26.4,26400,Manufacture of consumer electronics,1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
Sub-class,C,26.51/1,26511,"Manufacture of electronic instruments and appliances for measuring, testing, and navigation, except industrial process control equipment",1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
Sub-class,C,26.51/2,26512,Manufacture of electronic industrial process control equipment,1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
Sub-class,C,26.51/3,26513,"Manufacture of non-electronic instruments and appliances for measuring, testing and navigation, except industrial process control equipment",1,4,Other scientific/technological manufacture,Precision engineering
Sub-class,C,26.51/4,26514,Manufacture of non-electronic industrial process control equipment,1,4,Other scientific/technological manufacture,Precision engineering
Class,C,26.52,26520,Manufacture of watches and clocks,1,4,Other scientific/technological manufacture,Precision engineering
Group,C,26.6,26600,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",1,2,Life Sciences & Healthcare,"Medical (exc. Pharmaceutical), optical & precision equipment manufacture"
Sub-class,C,26.70/1,26701,Manufacture of optical precision instruments,1,2,Life Sciences & Healthcare,"Medical (exc. Pharmaceutical), optical & precision equipment manufacture"
Sub-class,C,26.70/2,26702,Manufacture of photographic and cinematographic equipment,1,3,Publishing & Broadcasting,Communication Equipment manufacturing
Group,C,26.8,26800,Manufacture of magnetic and optical media,1,1,Digital Technologies,Computer & Electronic manufacturing (inc. peripherals)
