code,name,type,active,date_start,date_end
E30000062,Hawes and Leyburn,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000069,Ipswich,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000072,Kettering and Corby,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000082,London,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000090,Mansfield,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000094,Milton Keynes and Aylesbury,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000104,Oxford,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000116,Rugby,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000119,Scunthorpe,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000121,Sheffield and Rotherham,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000127,St Austell,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000128,Stafford,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000129,Stevenage,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000139,"Truro, Redruth and Camborne",ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000142,Wakefield and Castleford,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
W22000018,Pwllheli,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
W22000019,Rhyl and Denbigh,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000087,Maidstone and North Kent,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000096,"Morpeth, Ashington and Alnwick",ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000103,Okehampton,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000105,Paignton and Totnes,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000109,Plymouth,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000113,Reading and Bracknell,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000122,Shrewsbury,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000143,Walsall and Cannock,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
E30000151,Wolverhampton,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
E30000157,Yeovil and Chard,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
W22000017,Porthmadog and Ffestiniog,ttwa,False,2015-06-26T00:00:00,2015-07-30T00:00:00
W22000020,Swansea Bay,ttwa,False,2009-01-01T00:00:00,2015-07-30T00:00:00
