"ttwa","ttwa_code","entry_total","grand_total","hhi","entry_rate","assets"
"Andover","E30000159",6.0,278.0,0.1358024626970291,0.02158273383975029,51833.16796875
"Ashford","E30000160",8.0,490.0,0.12396693974733353,0.016326531767845154,337250.875
"Banbury","E30000161",4.0,449.0,0.2222222238779068,0.008908686228096485,45478.5
"Barnsley","E30000004",4.0,509.0,0.11999999731779099,0.007858546450734138,19405.25
"Barnstaple","E30000162",2.0,175.0,0.25,0.011428571306169033,232618.5
"Barrow-in-Furness","E30000163",1.0,205.0,1.0,0.004878048785030842,4168.0
"Basingstoke","E30000164",20.0,1421.0,0.1735537201166153,0.014074594713747501,218411.25
"Bath","E30000165",11.0,796.0,0.1111111119389534,0.013819094747304916,307714.90625
"Bedford","E30000166",14.0,1062.0,0.13500000536441803,0.01318267360329628,301938.15625
"Bideford","E30000167",1.0,65.0,1.0,0.015384615398943424,16337.0
"Birkenhead","E30000168",6.0,823.0,0.22448979318141937,0.00729040103033185,158142.328125
"Birmingham","E30000169",38.0,5613.0,0.0957217589020729,0.006769997999072075,154110.765625
"Blackburn","E30000170",8.0,791.0,0.12396693974733353,0.01011378038674593,342208.625
"Blackpool","E30000171",7.0,1900.0,0.18518517911434174,0.0036842110566794872,91638.859375
"Blandford Forum and Gillingham","E30000172",5.0,191.0,0.36000001430511475,0.026178009808063507,59184.3984375
"Blyth and Ashington","E30000173",1.0,268.0,0.5,0.00373134296387434,1054.0
"Boston","E30000174",2.0,96.0,0.5,0.0208333320915699,17425.5
"Bournemouth","E30000175",20.0,4485.0,0.1682419627904892,0.004459308926016092,80744.703125
"Bradford","E30000018",9.0,1075.0,0.3388429880142212,0.008372092619538307,29856.5546875
"Bridgwater","E30000176",1.0,175.0,1.0,0.005714286118745804,31753.0
"Bridlington","E30000177",1.0,60.0,0.5,0.01666666753590107,23310.0
"Bridport","E30000178",1.0,90.0,1.0,0.011111111380159855,48735.0
"Brighton","E30000179",33.0,5585.0,0.1163708046078682,0.0059086838737130165,141904.84375
"Bristol","E30000180",48.0,3782.0,0.13360881805419922,0.012691698037087917,398765.78125
"Bude","E30000181",1.0,48.0,1.0,0.0208333320915699,382309.0
"Burnley","E30000182",4.0,344.0,0.20000000298023224,0.011627906933426857,251670.5
"Burton upon Trent","E30000183",8.0,539.0,0.20000000298023224,0.014842300675809383,79352.0
"Bury St Edmunds","E30000184",12.0,447.0,0.138888880610466,0.02684563770890236,230363.75
"Buxton","E30000185",2.0,102.0,0.5,0.019607843831181526,98347.0
"Cambridge","E30000186",50.0,3371.0,0.11673469096422195,0.014832394197583199,237823.546875
"Canterbury","E30000187",7.0,480.0,0.1111111119389534,0.014583333395421505,54138.0
"Chelmsford","E30000188",27.0,1971.0,0.12037036567926407,0.013698630034923553,336394.0
"Cheltenham","E30000189",25.0,994.0,0.192507803440094,0.025150904431939125,344007.03125
